customer_id,income,monthly_spend,age,credit_score,default_flag,spend_income_ratio,age_credit_ratio,disposable_income
1,10270,2070,49,582,0,0.20155793573515093,0.08419243986254296,8200
2,3860,5556,21,326,0,1.4393782383419689,0.06441717791411043,-1696
3,8390,6081,28,525,0,0.7247914183551848,0.05333333333333334,2309
4,8191,3190,34,576,0,0.389451837382493,0.059027777777777776,5001
5,8734,4340,55,583,1,0.49690863292878407,0.09433962264150944,4394
6,9265,1528,41,780,0,0.16492174851592012,0.052564102564102565,7737
7,3466,1002,22,752,0,0.2890940565493364,0.02925531914893617,2464
8,7426,4993,51,815,0,0.6723673579315917,0.06257668711656442,2433
9,8578,1370,23,846,0,0.15971088831895547,0.027186761229314422,7208
10,11322,4988,39,491,0,0.4405582052640876,0.07942973523421588,6334
11,4685,706,28,348,0,0.15069370330843115,0.08045977011494253,3979
12,3769,5634,33,811,0,1.4948262138498276,0.040690505548705305,-1865
13,9949,6477,50,316,0,0.6510202030354809,0.15822784810126583,3472
14,5433,1984,26,471,0,0.36517577765507087,0.055201698513800426,3449
15,8311,1363,23,519,0,0.16399951871014318,0.04431599229287091,6948
16,8051,3290,33,457,0,0.40864488883368527,0.07221006564551423,4761
17,9420,1063,46,776,0,0.11284501061571126,0.059278350515463915,8357
18,4184,5616,20,345,0,1.3422562141491396,0.057971014492753624,-1432
19,7555,4691,37,672,0,0.6209133024487095,0.05505952380952381,2864
20,6385,6519,53,817,1,1.0209866875489428,0.06487148102815178,-134
21,9396,2257,36,398,0,0.24020859940400172,0.09045226130653267,7139
22,11666,6874,43,336,0,0.5892336704954568,0.12797619047619047,4792
23,5558,2178,20,579,0,0.3918675782655632,0.03454231433506045,3380
24,10849,3742,36,648,0,0.3449165821734722,0.05555555555555555,7107
25,5047,5136,37,796,0,1.017634238161284,0.04648241206030151,-89
26,5747,1559,49,601,0,0.2712719679832956,0.08153078202995008,4188
27,3189,5779,24,480,1,1.8121668234556287,0.05,-2590
28,5734,2222,58,398,0,0.38751307987443323,0.1457286432160804,3512
29,6005,3814,50,415,0,0.6351373855120733,0.12048192771084337,2191
30,7658,3657,57,490,0,0.4775398276312353,0.11632653061224489,4001
31,4899,6415,56,552,0,1.3094509083486425,0.10144927536231885,-1516
32,10734,3125,35,460,0,0.291130985653065,0.07608695652173914,7609
33,4267,3229,57,555,1,0.7567377548629013,0.10270270270270271,1038
34,4528,2097,18,622,0,0.4631183745583039,0.028938906752411574,2431
35,6556,3560,28,427,1,0.5430140329469189,0.06557377049180328,2996
36,6890,3193,45,317,1,0.46342525399129175,0.14195583596214512,3697
37,11838,5391,42,622,0,0.4553978712620375,0.06752411575562701,6447
38,8393,5647,40,587,0,0.6728225902537829,0.06814310051107325,2746
39,11792,6239,48,454,0,0.5290875169606513,0.10572687224669604,5553
40,11433,4127,47,789,0,0.36097262310854544,0.059569074778200254,7306
41,10513,1863,59,685,0,0.17720916959954341,0.08613138686131387,8650
42,5612,2481,52,403,0,0.44208838203848894,0.12903225806451613,3131
43,10041,5950,24,692,0,0.5925704611094512,0.03468208092485549,4091
44,9235,2163,33,545,0,0.23421765024363833,0.060550458715596334,7072
45,8486,2029,43,475,1,0.23909969361300967,0.09052631578947369,6457
46,10099,2538,19,338,0,0.25131201109020695,0.05621301775147929,7561
47,3775,6092,18,776,1,1.6137748344370861,0.023195876288659795,-2317
48,11226,3802,29,837,0,0.33867806876892925,0.03464755077658303,7424
49,6152,2737,22,707,0,0.4448959687906372,0.031117397454031116,3415
50,4585,6004,54,824,0,1.3094874591057797,0.06553398058252427,-1419
51,6943,5996,49,805,0,0.8636036295549474,0.06086956521739131,947
52,10555,1806,26,335,1,0.17110374230222644,0.07761194029850746,8749
53,6073,4529,58,319,0,0.7457599209616335,0.18181818181818182,1544
54,4021,3175,52,620,1,0.7896045759761253,0.08387096774193549,846
55,6843,5568,36,811,0,0.8136782113108286,0.04438964241676942,1275
